epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,346.586,1.66615,3.86919,1.87556,0.1158,0.27887,0.11893,0.07298,1.82168,7.35105,1.89556,0.00015,0.00015,0.00015
2,629.731,1.62791,2.93351,1.80641,0.0288,0.0658,0.0139,0.0049,2.853,14.5541,2.83866,0.00029977,0.00029977,0.00029977
3,895.408,1.689,2.72117,1.83552,0.0024,0.01387,0.0013,0.00075,4.72644,inf,8.95278,0.00043898,0.00043898,0.00043898
4,1187.94,1.70042,2.62911,1.87163,0.00799,0.1442,0.00324,0.00104,3.18425,inf,3.19461,0.00056763,0.00056763,0.00056763
5,1458.58,1.6872,2.51133,1.80738,0.1783,0.04113,0.00445,0.00089,3.26695,inf,3.72787,0.00068572,0.00068572,0.00068572
6,1744.11,1.69954,2.52585,1.82535,0.05315,0.10068,0.02927,0.01237,2.75875,17.7413,3.11042,0.00079325,0.00079325,0.00079325
7,2044.95,1.71507,2.47874,1.80624,0.01742,0.03871,0.01064,0.00802,3.0594,24.7732,3.79084,0.000802,0.000802,0.000802
8,2335.73,1.72019,2.47163,1.84887,0.13375,0.18333,0.11892,0.0599,2.45371,11.4415,2.88042,0.000769,0.000769,0.000769
9,2619.68,1.70246,2.44893,1.82487,0.01187,0.04692,0.00232,0.00069,3.77932,10.2693,3.41917,0.000736,0.000736,0.000736
10,2917.64,1.68318,2.4564,1.79118,0.44643,0.23668,0.20842,0.14972,2.27867,8.49668,2.45876,0.000703,0.000703,0.000703
11,3209.77,1.62293,2.35663,1.77025,0.16688,0.27524,0.18758,0.12057,2.28713,4.69569,2.49513,0.00067,0.00067,0.00067
12,3509.66,1.58554,2.27906,1.75791,0.46514,0.28323,0.22248,0.13453,2.1817,5.45654,2.28565,0.000637,0.000637,0.000637
13,3800.87,1.52445,2.16749,1.69871,0.34721,0.3331,0.30361,0.21783,2.09464,4.39269,2.17214,0.000604,0.000604,0.000604
14,4086.71,1.52551,2.14721,1.70382,0.45879,0.36404,0.39897,0.2726,1.9076,3.24697,2.01582,0.000571,0.000571,0.000571
15,4370.74,1.42422,2.047,1.63343,0.41899,0.3606,0.38843,0.2741,1.81035,2.82402,1.90599,0.000538,0.000538,0.000538
16,4650.8,1.42865,1.95568,1.62361,0.38869,0.4363,0.39949,0.27744,1.85933,2.746,1.94405,0.000505,0.000505,0.000505
17,4933.19,1.44,1.95559,1.61633,0.4699,0.44614,0.44828,0.33393,1.7369,2.67472,1.84327,0.000472,0.000472,0.000472
18,5203.18,1.35763,1.90746,1.58746,0.55321,0.477,0.47608,0.33514,1.77592,2.50878,1.83402,0.000439,0.000439,0.000439
19,5475.45,1.33591,1.83354,1.54741,0.54091,0.47243,0.49038,0.36371,1.721,2.31443,1.77578,0.000406,0.000406,0.000406
20,5756.65,1.27117,1.72714,1.49852,0.50207,0.51934,0.4786,0.36881,1.68008,2.39996,1.829,0.000373,0.000373,0.000373
21,6132.95,1.38469,1.89152,1.62558,0.53424,0.43068,0.46743,0.34675,1.79576,2.5921,1.91832,0.00034,0.00034,0.00034
22,6418.71,1.30462,1.71868,1.57892,0.50197,0.4181,0.44338,0.33323,1.77176,2.62033,1.95388,0.000307,0.000307,0.000307
23,6720.33,1.2866,1.66793,1.56572,0.70912,0.46631,0.50903,0.38219,1.75757,2.40223,1.89543,0.000274,0.000274,0.000274
24,7020.9,1.23676,1.58198,1.52473,0.5052,0.4748,0.47702,0.37685,1.67532,2.60191,1.85749,0.000241,0.000241,0.000241
25,7317.04,1.21175,1.53016,1.49003,0.5304,0.48135,0.49374,0.38265,1.69226,2.48199,1.8438,0.000208,0.000208,0.000208
26,7601.45,1.14513,1.44075,1.45783,0.5655,0.48419,0.49395,0.37941,1.62657,2.29474,1.80491,0.000175,0.000175,0.000175
27,7888.69,1.1277,1.40087,1.44476,0.55869,0.46375,0.48697,0.36973,1.71226,2.36719,1.81394,0.000142,0.000142,0.000142
28,8179.48,1.10668,1.35265,1.40137,0.56543,0.47872,0.49532,0.37033,1.69766,2.279,1.82745,0.000109,0.000109,0.000109
29,8451.36,1.07524,1.28569,1.38744,0.56722,0.49722,0.50248,0.36968,1.69517,2.26917,1.79983,7.6e-05,7.6e-05,7.6e-05
30,8746.66,1.04238,1.24289,1.34146,0.56153,0.4947,0.51103,0.38338,1.65086,2.26266,1.77773,4.3e-05,4.3e-05,4.3e-05
